time,open,high,low,close,volume,ticker
2020-12-22,1081.85,1084.23,1077.06,1083.45,695860800,VNINDEX
2020-12-23,1087.89,1094.09,1077.92,1078.9,742856110,VNINDEX
2020-12-24,1083.83,1084.76,1046.89,1067.52,686557640,VNINDEX
2020-12-25,1068.83,1084.42,1061.83,1084.42,592212900,VNINDEX
2020-12-28,1094.37,1096.11,1083.9,1091.33,663869090,VNINDEX
2020-12-29,1090.49,1102.79,1087.93,1099.49,618010510,VNINDEX
2020-12-30,1099.78,1108.83,1094.91,1097.54,619802880,VNINDEX
2020-12-31,1098.25,1105.33,1096.27,1103.87,500978800,VNINDEX
2021-01-04,1113.77,1126.43,1113.59,1120.47,709601600,VNINDEX
2021-01-05,1116.96,1134.45,1116.49,1132.55,710226500,VNINDEX
2021-01-06,1139.12,1152.85,1133.7,1143.21,725414800,VNINDEX
2021-01-07,1147.26,1156.49,1143.44,1156.49,719527100,VNINDEX
2021-01-08,1164.1,1176.33,1160.48,1167.69,763095900,VNINDEX
2021-01-11,1176.47,1186.45,1175.0,1184.89,776321700,VNINDEX
2021-01-12,1190.38,1192.28,1179.24,1192.28,683329700,VNINDEX
2021-01-13,1197.32,1200.82,1183.18,1186.05,747161400,VNINDEX
2021-01-14,1189.48,1190.5,1178.84,1187.4,737417900,VNINDEX
2021-01-15,1188.84,1197.74,1188.84,1194.2,746215900,VNINDEX
2021-01-18,1198.79,1200.85,1190.33,1191.94,711741000,VNINDEX
2021-01-19,1189.91,1189.91,1117.17,1131.0,923105700,VNINDEX
2021-01-20,1136.5,1142.48,1098.05,1134.68,802789200,VNINDEX
2021-01-21,1146.86,1164.21,1132.66,1164.21,666008100,VNINDEX
2021-01-22,1166.77,1175.72,1161.43,1166.78,716238500,VNINDEX
2021-01-25,1164.2,1172.18,1162.8,1166.05,665737500,VNINDEX
2021-01-26,1164.97,1164.97,1121.03,1136.12,743159100,VNINDEX
2021-01-27,1122.41,1132.99,1088.86,1097.17,745071300,VNINDEX
2021-01-28,1041.71,1052.16,1022.77,1023.94,698605600,VNINDEX
2021-01-29,998.33,1076.11,998.33,1056.61,743995900,VNINDEX
2021-02-01,1062.13,1074.52,1035.51,1035.51,588446500,VNINDEX
2021-02-02,1036.95,1075.53,1029.36,1075.53,554905500,VNINDEX
2021-02-03,1084.87,1113.24,1082.95,1111.29,635966100,VNINDEX
2021-02-04,1112.97,1117.88,1098.85,1112.19,471356200,VNINDEX
